time_local,time_search,spd_search,time_dp,spd_dp
114000.0,80703.77,4.50879492794031,80703.77,2.1795517911649203
131000.0,82403.77,4.157266325881414,82403.77,2.209246848753205
114000.0,80703.77,4.169880072874382,80703.77,2.1792644643392283
219000.0,201903.648,4.131005600779045,201903.648,2.15198239545756
486000.0,162903.108,4.163790288447653,162903.108,2.148294097434726
170000.0,64515.796,4.162674907565987,64515.796,2.301464073143505
493000.0,374801.02300000004,4.255248376961853,374801.02300000004,2.407050814804368
339000.0,203004.57,4.169833078300271,203004.57,2.2855573090080203
274000.0,97402.215,4.131737325358741,97402.215,2.7281101841003395
299000.0,40703.37100000001,4.207779736126004,40703.37100000001,2.3308194664959445
278000.0,109701.55700000002,4.142674104794683,109701.55700000002,2.171726453653543
374000.0,78800.80799999999,4.280047697148456,78800.80799999999,2.315130317183254
358000.0,46507.577,4.190541789837003,46507.577,2.24402958903014
251000.0,155600.473,4.136463718569345,155600.473,2.1634595517700683
342000.0,191600.685,4.179342061317737,191600.685,2.1664301138437745
398000.0,90201.598,4.259015390011838,90201.598,2.500785172917464
144000.0,40506.831,4.283916043828284,40506.831,2.69434191036434
240000.0,56600.324,4.250798015527548,56600.324,2.3042750504770537
274000.0,244803.756,4.2468283617937885,244803.756,2.188647295999714
194000.0,171501.45500000002,4.226512264243968,171501.45500000002,2.1939589780191815
273000.0,114803.68100000001,4.297158426523412,114803.68100000001,2.2671717284032527
278000.0,156510.85,4.324909773657702,156510.85,2.552059534187727
414000.0,112200.226,4.21410438863116,112200.226,2.3830969299488096
346000.0,131306.78399999999,4.196458067043331,131306.78399999999,2.6427612032653514
79000.0,25000.606,4.262118715431877,25000.606,2.5628873812939013
414000.0,83906.848,4.230073221926915,83906.848,2.226599905207398
282000.0,88501.443,4.215748567922248,88501.443,2.1880843737152316
362000.0,182901.276,4.207068581514095,182901.276,2.4635944021872187
331000.0,179703.798,4.220967976471246,179703.798,2.6051972673882404
468000.0,448202.062,4.204250251461155,448202.062,2.236285277447504
228000.0,97104.337,4.302001727369796,97104.337,2.220108088040344
351000.0,148500.59100000001,4.233140851097347,148500.59100000001,2.191171455728162
373000.0,187600.523,4.223563429182381,187600.523,2.2667019668840527
200000.0,29703.735,4.332292997405649,29703.735,2.3356584522891013
450000.0,308712.11100000003,4.1831986420297405,308712.11100000003,2.2612628687919036
428000.0,378500.414,4.205837474003538,378500.414,2.371437317404289
577000.0,309700.261,4.2239214604371815,309700.261,2.7233735670189376
414000.0,201601.95500000002,4.3189956490769905,201601.95500000002,2.2273724422895564
366000.0,97701.912,4.209930344553428,97701.912,2.314288660947593
534000.0,309002.631,4.20060702803869,309002.631,2.3374592612910625
142000.0,94501.501,4.21752868740107,94501.501,2.697490887170918
273000.0,127802.53,4.240554240144506,127802.53,2.250420002308922
250000.0,163603.549,4.298060147478417,163603.549,2.264109156305829
311000.0,90500.187,4.235997837187781,90500.187,2.190051417759399
98000.0,21801.768000000004,4.252243620846849,21801.768000000004,2.178113252314162
252000.0,232216.26400000002,4.221966861652919,232216.26400000002,2.670709595223987
214000.0,54704.307,4.21451270469814,54704.307,2.3354579006895118
218000.0,140611.29600000003,4.184594910207824,140611.29600000003,2.758457688610425
353000.0,120700.21100000001,4.194764024110882,120700.21100000001,2.3490831687793445
273000.0,179400.394,4.276783384700271,179400.394,2.2955670999616618
281000.0,111805.206,4.172912197513044,111805.206,2.2540644529137985
187000.0,102408.03499999999,4.230062994268976,102408.03499999999,2.598352709869493
530000.0,308600.52,4.2067557358556,308600.52,2.3658622154019615
226000.0,40601.699,4.220304261113589,40601.699,2.248953615495965
293000.0,48200.38,4.222729473781739,48200.38,2.8022262376910136
337000.0,73300.54000000001,4.414353200595805,73300.54000000001,2.389343311251878
139000.0,35500.675,4.240718939407014,35500.675,2.201123897206668
397000.0,237409.582,4.3335178038361315,237409.582,2.62179922400237
158000.0,40101.064000000006,4.221703671029925,40101.064000000006,2.3340514403466446
538000.0,341513.251,4.1994671971952355,341513.251,2.428134794029043
346000.0,130004.905,4.292873836675967,130004.905,2.6320521667060355
228000.0,63703.590000000004,4.263115076181339,63703.590000000004,2.2127201544185127
346000.0,171400.843,4.304901792537661,171400.843,2.1989318699326508
162000.0,131400.204,4.231199346654341,131400.204,2.3605934135657565
339000.0,90605.285,4.187828002353733,90605.285,2.177536499929055
307000.0,139602.688,4.194653071952927,139602.688,2.176091259055955
151000.0,139306.177,4.21317230904682,139306.177,2.282395504742431
468000.0,261008.396,4.23463874749946,261008.396,2.5809249756755785
216000.0,189005.581,4.23672615361864,189005.581,2.373095987078656
230000.0,122907.326,4.185179383071535,122907.326,2.2624510897300074
384000.0,188702.321,4.230660907527032,188702.321,2.5477747053878814
268000.0,124000.492,4.152670477695782,124000.492,2.8028421127392256
222000.0,175206.957,4.16521167117722,175206.957,2.5073160400763084
195000.0,45304.072,4.277324939144522,45304.072,2.5395778833455482
130000.0,49900.259999999995,4.166805925285791,49900.259999999995,2.172602931210683
223000.0,128909.989,4.179344935013663,128909.989,2.178976947293843
309000.0,84903.166,4.108365418879047,84903.166,2.1664301138424595
436000.0,259304.654,4.166110270095992,259304.654,2.175511813363383
104000.0,69714.289,4.157154439906279,69714.289,2.1737688231368577
306000.0,114909.83200000001,4.219681432746981,114909.83200000001,2.1734776434536793
367000.0,58300.467,4.229208133978606,58300.467,2.1731862684134367
